pick_up_pincode,latest_order_date,total_transactions,delivered_orders,delivered_percentage,latitude,longitude,latitude_x,longitude_y
562130,2024-08-26,5939,5606,94.39299545,12.98407427,77.57474772,13.03,77.6007
560002,2024-08-26,172,158,91.86046512,12.95974375,77.57450385,12.9651111,77.5876111
560003,2024-08-26,3678,3503,95.24197934,13.00772573,77.56012233,13.004048,77.575562
560004,2024-08-26,7006,6717,95.87496432,12.95241012,77.56758036,12.9537529,77.5722102
560005,2024-08-26,2372,2270,95.69983137,13.00279447,77.62213097,13.0007222,77.6161389
560006,2024-08-23,21,20,95.23809524,13.01411316,77.59677486,13.0168333,77.5832778
560007,2024-08-26,168,156,92.85714286,12.96505196,77.63360963,12.9636389,77.6291111
560008,2024-08-26,5161,4981,96.51230382,12.95937214,77.65428086,12.968488,77.642574
560009,2024-08-26,1011,932,92.1859545,12.98146948,77.57010497,12.973544,77.580324
560010,2024-08-26,4261,4029,94.55526872,12.97849955,77.54260625,12.993209,77.554461
560011,2024-08-26,6182,5961,96.42510514,12.93668676,77.58008757,12.9367048,77.585589
560012,2024-08-23,5,5,100,13.02780454,77.57183342,13.01383,77.56654
560013,2024-08-26,628,558,88.85350318,13.05808579,77.55508942,13.064257,77.546488
560014,2024-08-26,203,202,99.50738916,13.0827521,77.54398963,13.046435,77.522697
560015,2024-08-26,662,635,95.92145015,13.06658158,77.503098,13.0140833,77.68275
560016,2024-08-26,2755,2556,92.77676951,13.02507091,77.65967884,12.9447222,77.5740278
560017,2024-08-26,3010,2874,95.48172757,12.94088702,77.67175157,12.96481,77.555015
560018,2024-08-26,176,153,86.93181818,12.95407375,77.55698127,12.988456,77.574647
560019,2024-08-26,3213,3062,95.30034236,12.94742173,77.55518443,13.006429,77.554956
560020,2024-08-26,525,472,89.9047619,12.99283406,77.57154897,13.027966,77.540916
560021,2024-08-26,1611,1495,92.79950341,12.99340231,77.57153336,12.975571,77.560338
560022,2024-08-26,1128,1044,92.55319149,13.02099079,77.52847601,13.0492778,77.6045556
560023,2024-08-26,1357,1228,90.49373618,12.96399255,77.54389704,12.9748333,77.604
560024,2024-08-26,1868,1688,90.3640257,13.04096194,77.60515177,12.9544029,77.5442816
