pick_up_pincode,latest_order_date,total_transactions,delivered_orders,delivered_percentage,latitude,longitude,latitude_x,longitude_y
110001,2024-08-21 04:44:59,43643,1151,2.637307243,28.63566712,77.21984806,28.61675,77.2934444
110002,2024-08-21 03:38:22,11258,255,2.26505596,28.62606427,77.2407946,28.6352,77.2469
110003,2024-08-21 03:34:59,18272,916,5.013134851,28.58123588,77.20035885,28.576544,77.224654
110005,2024-08-21 04:30:22,54634,2888,5.286085588,28.66428748,77.16421985,28.6210833,77.1961389
110006,2024-08-21 01:05:35,21325,333,1.561547479,28.65576555,77.20405646,28.6500278,77.1938333
110007,2024-08-21 04:36:09,134003,5724,4.271546159,28.66451337,77.18082134,28.6498056,77.2263333
110008,2024-08-21 04:45:27,41878,2804,6.695639715,28.66428748,77.16421985,28.678498,77.207323
110009,2024-08-21 04:41:01,142231,7438,5.229520991,28.70719428,77.17361642,28.6472222,77.16975
110010,2024-08-20 22:39:41,1534,41,2.672750978,28.57419708,77.08321693,28.7075278,77.1880556
110011,2024-08-20 23:35:37,10,1,10,28.6105736,77.19101902,28.5778333,77.1221667
110012,2024-08-19 21:49:14,1082,13,1.201478743,28.61814969,77.14135607,28.6111111,77.21275
110014,2024-08-21 03:14:58,33394,1740,5.210516859,28.57544336,77.2509386,28.6401944,77.1659722
110015,2024-08-21 05:19:27,52459,1909,3.639032387,28.65010273,77.12505726,28.5912222,77.2423333
110016,2024-08-21 04:18:30,24658,1584,6.42387866,28.53895473,77.20334551,28.57,77.26
110017,2024-08-21 05:02:03,166683,10443,6.265186012,28.5317782,77.19486418,28.6541389,77.1356389
110018,2024-08-21 05:17:55,153879,8221,5.342509374,28.63471424,77.06242354,28.5512222,77.2081667
110019,2024-08-21 05:01:57,72375,2508,3.465284974,28.54190444,77.23960933,28.522984,77.21452
110020,2024-08-21 03:52:12,10932,289,2.643615075,28.55496876,77.26572309,28.636587,77.094466
110021,2024-08-21 00:31:14,14770,101,0.6838185511,28.57555471,77.156384,28.5498056,77.3210556
110022,2024-08-21 02:33:40,10057,188,1.869344735,28.57218462,77.16192926,28.543282,77.257845
