Pincode,Districtname,Statename,Statecode
743708,South 24 Parganas,WEST BENGAL,WB
743601,South 24 Parganas,WEST BENGAL,WB
743510,South 24 Parganas,WEST BENGAL,WB
743398,South 24 Parganas,WEST BENGAL,WB
743396,South 24 Parganas,WEST BENGAL,WB
743391,South 24 Parganas,WEST BENGAL,WB
743384,South 24 Parganas,WEST BENGAL,WB
743362,South 24 Parganas,WEST BENGAL,WB
743358,South 24 Parganas,WEST BENGAL,WB
743298,South 24 Parganas,WEST BENGAL,WB
743101,South 24 Parganas,WEST BENGAL,WB
743001,South 24 Parganas,WEST BENGAL,WB
700163,North 24 Parganas,WEST BENGAL,WB
700162,South 24 Parganas,WEST BENGAL,WB
700000,South 24 Parganas,WEST BENGAL,WB
743339,South 24 Parganas,WEST BENGAL,WB
743299,North 24 Parganas,WEST BENGAL,WB
743212,South 24 Parganas,WEST BENGAL,WB
504346,Adilabad,TELANGANA,TG
504323,Adilabad,TELANGANA,TG
504313,Adilabad,TELANGANA,TG
504312,Adilabad,TELANGANA,TG
504311,Adilabad,TELANGANA,TG
504310,Adilabad,TELANGANA,TG
504309,Adilabad,TELANGANA,TG
504308,Adilabad,TELANGANA,TG
504307,Adilabad,TELANGANA,TG
504306,Adilabad,TELANGANA,TG
504299,Adilabad,TELANGANA,TG
504297,Adilabad,TELANGANA,TG
504296,Adilabad,TELANGANA,TG
504295,Adilabad,TELANGANA,TG
504294,Adilabad,TELANGANA,TG
504292,Adilabad,TELANGANA,TG
504273,Adilabad,TELANGANA,TG
504272,Adilabad,TELANGANA,TG
504251,Adilabad,TELANGANA,TG
504231,Adilabad,TELANGANA,TG
504220,Adilabad,TELANGANA,TG
504219,Adilabad,TELANGANA,TG
504218,Adilabad,TELANGANA,TG
504216,Adilabad,TELANGANA,TG
504215,Adilabad,TELANGANA,TG
504214,Adilabad,TELANGANA,TG
504207,Adilabad,TELANGANA,TG
504206,Adilabad,TELANGANA,TG
504205,Adilabad,TELANGANA,TG
504204,Adilabad,TELANGANA,TG
504203,Adilabad,TELANGANA,TG
504202,Adilabad,TELANGANA,TG
504201,Adilabad,TELANGANA,TG
504110,Adilabad,TELANGANA,TG
504109,Adilabad,TELANGANA,TG
504107,Adilabad,TELANGANA,TG
504106,Adilabad,TELANGANA,TG
504105,Adilabad,TELANGANA,TG
504104,Adilabad,TELANGANA,TG
504103,Adilabad,TELANGANA,TG
504102,Adilabad,TELANGANA,TG
